Token,Count,Category
>=,23,JavaScript
page,23,CSS
table,23,CSS
exist,23,Ruby
list,23,Ruby
hrefNoHash,23,JavaScript
q,23,Ruby
alert,23,Ruby
called,23,Ruby
delegate,23,JavaScript
activePage,23,JavaScript
ui,23,Ruby
than,23,JavaScript
Set,23,JavaScript
enable,23,JavaScript
filter,23,CSS
after,23,Ruby
style,23,CSS
Time,23,Ruby
g,23,JavaScript
created,23,Ruby
options,22,YAML
today,22,JavaScript
v,22,Ruby
some,22,JavaScript
zoom,22,CSS
comment,22,Ruby
%,22,JavaScript
css,22,Ruby
snap,22,JavaScript
media,22,JavaScript
just,22,JavaScript
text_field_tag,22,ERB
more,22,JavaScript
b,22,JavaScript
parseUrl,22,JavaScript
cookies,22,Ruby
setDate,22,JavaScript
embedded,22,JavaScript
end,22,JavaScript
absUrl,22,JavaScript
application,22,JavaScript
repeat,22,CSS
point,22,JavaScript
cType,22,JavaScript
fromPage,22,JavaScript
mousewheel,22,JavaScript
pickerMins,22,JavaScript
pagecreate,22,JavaScript
right,22,JavaScript
next,22,JavaScript
main,22,JavaScript
=,22,CSS
name,22,ERB
instance,22,JavaScript
widgets,22,JavaScript
transitions,21,JavaScript
facebook,21,Ruby
read,21,Ruby
apply,21,JavaScript
pickPageButtonTheme,21,JavaScript
NOTE,21,JavaScript
png,21,CSS
open,21,JavaScript
images,21,CSS
deferred,21,JavaScript
for,21,YAML
https,21,JavaScript
dst,21,JavaScript
search,21,CSS
they,21,JavaScript
position,21,JavaScript
div,21,CSS
makeUrlAbsolute,21,JavaScript
exists,21,Ruby
Boolean,21,Ruby
!=,21,JavaScript
like,21,JavaScript
screen,21,CSS
erb,21,Ruby
social,21,CSS
setAttribute,21,JavaScript
yellow,21,Ruby
or,21,Ruby
originalEvent,21,JavaScript
blank,21,Ruby
try,20,Ruby
heading,20,JavaScript
show,20,JavaScript
fieldcontain,20,ERB
tmpVal,20,JavaScript
article,20,ERB
delete,20,JavaScript
menu,20,ERB
name,20,YAML
be_nil,20,Ruby
horizontal,20,CSS
Jinda,20,ERB
path,20,Ruby
false,20,ERB
prevent,20,JavaScript
dialogHashKey,20,JavaScript
redirect,20,Ruby
visible,20,JavaScript
amount,20,JavaScript
OmniAuth,20,Ruby
Please,20,Ruby
text_area,20,ERB
no,20,Ruby
append,20,JavaScript
external,20,JavaScript
email,20,ERB
edit_note,20,Ruby
down,20,JavaScript
enabled,20,JavaScript
commentable,20,Ruby
file,20,CSS
bbbbbb,20,CSS
upcase,20,Ruby
inner,20,JavaScript
orientationchange,20,JavaScript
empty,20,JavaScript
RSpec,20,Ruby
flags,20,JavaScript
delay,20,JavaScript
switch,20,JavaScript
root_path,20,Ruby
methods,20,JavaScript
nodeName,20,JavaScript
max,20,CSS
middle,19,CSS
must,19,JavaScript
haml,19,Ruby
require,19,JavaScript
index,19,JavaScript
rule,19,JavaScript
overlay,19,JavaScript
rgb,19,CSS
reset,19,JavaScript
output,19,Ruby
k,19,Ruby
issues,19,JavaScript
skipThis,19,JavaScript
optional,19,JavaScript
pagesX,19,JavaScript
appendChild,19,JavaScript
specified,19,JavaScript
dragStart,19,JavaScript
controllers,19,Ruby
off,19,CSS
want,19,JavaScript
fullscreen,19,JavaScript
already,19,JavaScript
focusedEl,19,JavaScript
triggerData,19,JavaScript
github,19,JavaScript
start,19,Ruby
password,19,Ruby
your,19,Ruby
merge,18,Ruby
media,18,CSS
topleft,18,CSS
newval,18,JavaScript
topright,18,CSS
_unbind,18,JavaScript
on,18,Ruby
ddd,18,CSS
grid,18,JavaScript
_create,18,JavaScript
isMultiple,18,JavaScript
views,18,Ruby
been,18,JavaScript
eee,18,CSS
rails_helper,18,Ruby
messages,18,JavaScript
per_page,18,Ruby
will,18,Ruby
bottomright,18,CSS
bottomleft,18,CSS
connection,18,YAML
signup,18,CSS
size,18,JavaScript
ma_display,18,ERB
dragTarget,18,JavaScript
menu,18,JavaScript
database,18,YAML
non,18,JavaScript
Doc,18,ERB
if,18,ERB
templates,18,Ruby
controlsHeader,18,JavaScript
ar,18,JavaScript
pagesY,18,JavaScript
ret,18,JavaScript
parentNode,18,JavaScript
charset,18,ERB
error,18,Ruby
no,18,CSS
form,18,Ruby
checked,18,JavaScript
absolute,18,JavaScript
binding,18,JavaScript
Base,18,Ruby
l,18,JavaScript
code,18,ERB
http,18,ERB
navigator,18,JavaScript
opts,17,JavaScript
query,17,JavaScript
instead,17,JavaScript
proxy,17,JavaScript
src,17,JavaScript
Note,17,JavaScript
strip,17,Ruby
port,17,JavaScript
password_reset_token,17,Ruby
sessions,17,Ruby
user,17,JavaScript
cloudinary,17,Ruby
//,17,CSS
params,17,JavaScript
ul,17,JavaScript
constructor,17,JavaScript
Please,17,JavaScript
update_attributes,17,Ruby
Add,17,JavaScript
generate,17,Ruby
ua,17,JavaScript
minScrollY,17,JavaScript
defaultPickerValue,17,JavaScript
prefix,17,Ruby
forward,17,JavaScript
xid,17,Ruby
handlers,17,JavaScript
begin,17,Ruby
alt,17,CSS
i,17,Ruby
as,17,Ruby
tol,17,JavaScript
Password,17,Ruby
activePageClass,17,JavaScript
existing,17,Ruby
_trigger,17,JavaScript
keyup,17,JavaScript
tag,17,JavaScript
what,17,JavaScript
child,17,JavaScript
cursor,17,CSS
prereqs,17,JavaScript
next_runseq,17,Ruby
see,17,JavaScript
document,17,Ruby
database,17,Ruby
next,17,Ruby
Android,17,JavaScript
c,17,Ruby
called,17,JavaScript
action_mailer,17,Ruby
layout,17,Ruby
at,17,Ruby
relative,17,JavaScript
To,17,Ruby
inline,16,Ruby
checkbox,16,JavaScript
elements,16,Ruby
</,16,Ruby
h,16,Ruby
errorClass,16,JavaScript
be,16,YAML
info,16,Ruby
docs,16,Ruby
tabindex,16,JavaScript
parts,16,JavaScript
dataUrl,16,JavaScript
that,16,YAML
pickerMeri,16,JavaScript
ve,16,JavaScript
float,16,CSS
end_form,16,Ruby
END,16,JavaScript
o,16,Ruby
password,16,ERB
keywords,16,ERB
woff,16,CSS
bound,16,JavaScript
push,16,JavaScript
init_vars,16,Ruby
new,16,ERB
delete,16,Ruby
fade,16,JavaScript
an,16,YAML
loaded,16,JavaScript
private,16,Ruby
today,16,ERB
controlgroup,16,JavaScript
eq,16,Ruby
update_attribute,16,Ruby
fixed,16,CSS
done,16,JavaScript
true,16,ERB
src,16,CSS
slide,16,JavaScript
fonts,16,CSS
process_at,16,ERB
before_count,16,Ruby
Time,16,ERB
now,16,ERB
gsub,16,Ruby
after,16,CSS
based,16,JavaScript
Xmain,16,Ruby
eval,16,Ruby
-->,16,ERB
data_text,16,Ruby
content_type,16,Ruby
heading,16,CSS
||=,16,Ruby
of,16,CSS
disp,16,Ruby
for,16,CSS
eot,16,CSS
reverse,16,CSS
<!--,16,ERB
getMinutes,16,JavaScript
*,16,Ruby
display,16,Ruby
otherwise,16,JavaScript
else,16,ERB
iOS,16,JavaScript
initSelector,16,JavaScript
is,16,YAML
Date,16,ERB
activeClickedLink,15,JavaScript
--,15,JavaScript
custom,15,JavaScript
reset,15,Ruby
_zeroPad,15,JavaScript
property,15,JavaScript
are,15,Ruby
pathname,15,JavaScript
doc_form,15,Ruby
title,15,CSS
e,15,Ruby
IE,15,JavaScript
bak,15,Ruby
xload_current_ma_user,15,Ruby
you,15,Ruby
out,15,Ruby
Authentication,15,Ruby
collapsibleHeading,15,JavaScript
other,15,JavaScript
again,15,Ruby
please,15,Ruby
evt,15,JavaScript
contentTheme,15,JavaScript
failed,15,Ruby
original,15,JavaScript
n,15,JavaScript
handling,15,JavaScript
enter,15,JavaScript
loader,15,JavaScript
routes,15,Ruby
br,15,CSS
vmouseover,15,JavaScript
within,15,JavaScript
model,15,Ruby
dragMove,15,JavaScript
following,15,JavaScript
errors,15,JavaScript
view,15,Ruby
Opacity,15,CSS
hasTouch,15,JavaScript
request,15,JavaScript
notext,15,CSS
allows,15,JavaScript
pickerMon,15,JavaScript
html_safe,15,Ruby
invalid,15,JavaScript
controlsSet,15,JavaScript
namespace,15,JavaScript
configure,15,Ruby
check,15,Ruby
this,15,CSS
without,15,JavaScript
For,15,JavaScript
touchstart,15,JavaScript
isPath,15,JavaScript
Alpha,15,CSS
inheritDate,15,JavaScript
fallback,15,JavaScript
prepend,14,JavaScript
select,14,ERB
isCollapse,14,JavaScript
dependency,14,JavaScript
is,14,CSS
options_from_collection_for_select,14,ERB
guard,14,Ruby
strategy,14,Ruby
remote,14,JavaScript
disabled,14,CSS
lat,14,Ruby
cols,14,ERB
rows,14,ERB
deltaX,14,JavaScript
deltaY,14,JavaScript
